Hotchkiss;917;2;0;1;;0;1;21;3;13;5;0
Hudson;2390;6;0;2;;0;4;30;1;24;5;0
Idaho Springs;1683;16;0;3;;0;13;57;8;48;1;0
Ignacio;709;0;0;0;;0;0;0;0;0;0;0
Johnstown;11437;4;0;2;;1;1;84;11;69;4;0
Keenesburg;1171;10;0;1;;0;9;27;9;17;1;0
Kersey;1500;6;0;2;;0;4;25;8;17;0;0
Kiowa;717;1;0;1;;0;0;0;0;0;0;0
Lafayette;26145;50;0;12;;5;33;449;58;374;17;8
La Junta;7023;16;1;2;;2;11;377;105;261;11;3
Lakeside;8;5;0;0;;3;2;548;0;548;0;0
Lakewood;146298;624;6;107;;113;398;6892;872;5397;623;28
Lamar;7801;15;1;3;;2;9;268;60;203;5;0
La Salle;2017;6;0;0;;0;6;18;6;10;2;0
La Veta;773;5;2;2;;0;1;11;4;7;0;0
Leadville;2596;13;0;1;;0;12;28;8;13;7;2
Limon;1864;7;0;0;;1;6;15;2;13;0;0
Littleton;44375;44;1;17;;6;20;1278;213;959;106;7
Lone Tree;12056;5;0;0;;1;4;637;30;601;6;0
Longmont;89434;226;0;76;;19;131;2009;266;1634;109;64
Louisville;19291;18;0;0;;1;17;309;64;229;16;0
Loveland;71325;150;1;42;;19;88;1665;184;1423;58;17
Mancos;1343;1;0;0;;0;1;1;0;0;1;0
Manitou Springs;5220;14;1;3;;1;9;133;29;100;4;0
Mead;3886;7;0;1;;0;6;63;11;46;6;1
Meeker;2528;1;0;0;;0;1;22;5;17;0;1
Milliken;5839;5;0;3;;0;2;45;4;39;2;0
Minturn;1025;1;0;0;;0;1;5;0;4;1;0
Monte Vista;4423;16;0;2;;2;12;183;69;111;3;1
Montrose;18918;48;0;1;;4;43;589;79;496;14;3
Monument;5800;5;0;3;;0;2;173;32;139;2;1
Morrison;434;2;0;0;;0;2;4;0;3;1;0
Mount Crested Butte;799;1;0;0;;0;1;10;0;10;0;0
New Castle;4571;3;0;2;;0;1;49;6;40;3;0
Northglenn;37232;95;0;22;;10;63;1103;144;824;135;4
Oak Creek;870;0;0;0;;0;0;15;3;12;0;0
Pagosa Springs;1710;10;0;3;;0;7;75;15;54;6;1
Paonia;1417;0;0;0;;0;0;16;1;15;0;0
Parachute;1100;6;0;1;;1;4;22;11;10;1;0
Parker;47748;53;0;20;;4;29;522;74;427;21;10
Pueblo;108062;1011;2;165;;211;633;7596;1900;5168;528;30
Rangely;2479;4;0;0;;0;4;13;3;10;0;0
Rifle;9306;36;5;13;;0;18;304;36;258;10;0
Rocky Ford;3906;2;0;1;;0;1;15;7;8;0;0
Salida;5346;11;0;0;;0;11;218;30;180;8;1
Sheridan;5880;13;0;1;;3;9;438;36;357;45;1
Silt;2991;5;0;1;;1;3;62;9;51;2;0
Silverthorne;3921;6;0;1;;0;5;98;11;83;4;0
Snowmass Village;2851;0;0;0;;0;0;38;1;37;0;0
South Fork;375;0;0;0;;0;0;0;0;0;0;0
Springfield;1438;3;0;1;;0;2;16;4;12;0;0
Steamboat Springs;12008;37;0;6;;0;31;227;29;184;14;2
Sterling;14690;27;0;17;;1;9;480;115;354;11;2
Stratton;673;1;0;0;;1;0;16;8;6;2;0
Telluride;2313;6;0;1;;1;4;107;9;96;2;1
Thornton;125775;331;5;67;;53;206;3296;431;2513;352;15
Timnath;1436;0;0;0;;0;0;23;1;21;1;0
Trinidad;8689;8;0;1;;2;5;126;27;96;3;2
Vail;5241;18;0;1;;0;17;275;16;251;8;0
Walsenburg;2960;18;0;3;;6;9;92;20;72;0;2
Walsh;538;2;0;0;;0;2;0;0;0;0;0
Westminster;110093;214;2;26;;52;134;2987;382;2283;322;15
Wheat Ridge;30882;103;0;12;;19;72;1128;179;806;143;8
Windsor;20094;6;0;0;;0;6;172;38;131;3;2
Woodland Park;7185;10;0;2;;0;8;195;11;179;5;2
Wray;2373;1;0;0;;0;1;4;0;4;0;0
Yuma;3563;2;0;1;;0;1;16;1;14;1;0
