Arvada;110792;163;0;33;;34;96;2666;331;2138;197;22
Aspen;6685;14;0;5;;0;9;314;17;286;11;0
Ault;1565;0;0;0;;0;0;2;0;0;2;0
Aurora;343484;1436;23;224;;468;721;10786;1981;7805;1000;80
Avon;6336;9;0;3;;0;6;140;12;124;4;1
Basalt;3818;2;0;0;;0;2;63;11;50;2;0
Berthoud;5316;3;0;1;;1;1;45;13;28;4;0
Black Hawk;119;6;0;3;;2;1;205;2;195;8;0
Blue River;854;1;0;0;;1;0;4;0;4;0;0
Boulder;102828;218;0;38;;40;140;2948;612;2236;100;27
Bow Mar;900;0;0;0;;0;0;10;3;7;0;0
Breckenridge;4568;22;1;4;;2;15;349;19;328;2;1
Broomfield;59424;33;1;12;;6;14;1204;106;1054;44;4
Brush;5529;6;0;1;;1;4;36;10;19;7;0
Buena Vista;2678;0;0;0;;0;0;5;0;4;1;0
Burlington;3939;11;0;3;;0;8;98;23;71;4;1
Campo;109;0;0;0;;0;0;0;0;0;0;0
Canon City;16474;80;0;3;;7;70;595;94;482;19;7
Carbondale;6522;11;0;6;;0;5;87;5;80;2;1
Castle Rock;52309;45;0;12;;6;27;556;83;448;25;7
Cedaredge;2192;0;0;0;;0;0;29;13;16;0;0
Centennial;104771;141;6;25;;20;90;1194;186;936;72;16
Center;2281;10;0;0;;2;8;49;16;33;0;0
Central City;675;4;0;0;;0;4;45;2;40;3;0
Cherry Hills Village;6297;1;0;0;;0;1;55;13;37;5;0
Colorado Springs;436108;1893;26;370;;418;1079;18175;3726;12521;1928;62
Columbine Valley;1315;0;0;0;;0;0;7;3;4;0;0
Commerce City;49200;156;1;36;;20;99;1546;250;1113;183;7
Cortez;8470;18;2;4;;0;12;348;16;321;11;1
Craig;8909;18;0;6;;0;12;238;47;182;9;2
Crested Butte;1510;0;0;0;;0;0;21;7;14;0;0
Cripple Creek;1179;9;0;2;;1;6;75;11;60;4;0
Dacono;4373;1;0;0;;0;1;1;0;0;1;0
Del Norte;1675;1;0;0;;0;1;33;4;28;1;0
Delta;8799;25;0;16;;1;8;380;52;303;25;1
Denver;648981;4087;40;514;;1132;2401;23711;4918;15306;3487;96
Dillon;906;2;0;0;;0;2;18;0;18;0;0
Durango;17303;47;0;14;;2;31;464;52;396;16;3
Eagle;6466;8;0;3;;0;5;77;2;73;2;1
Eaton;4575;6;0;0;;0;6;3;2;1;0;0
Edgewater;5241;2;1;0;;0;1;77;6;65;6;0
Elizabeth;1366;1;0;1;;0;0;19;1;18;0;0
Empire;279;2;0;0;;0;2;4;2;2;0;0
Erie;19627;11;0;1;;1;9;103;15;84;4;0
Estes Park;6064;5;0;0;;0;5;44;4;40;0;0
Evans;19893;69;0;2;;5;62;341;80;237;24;5
Fairplay;667;3;0;1;;0;2;11;3;8;0;0
Federal Heights;11894;55;0;17;;8;30;628;81;476;71;2
Firestone;11128;2;0;1;;0;1;91;6;83;2;0
Florence;3888;3;0;0;;1;2;27;5;19;3;1
Fort Collins;150066;357;0;57;;37;263;3808;531;3137;140;12
Fort Lupton;7649;3;0;2;;0;1;24;6;14;4;0
Fort Morgan;11487;33;0;21;;2;10;383;51;318;14;3
Fountain;27163;78;0;19;;7;52;619;127;457;35;5
Frederick;9639;6;0;5;;1;0;84;6;74;4;0
Frisco;2740;8;0;0;;0;8;42;3;36;3;0
Fruita;12723;20;0;11;;2;7;201;34;158;9;2
Garden City;243;19;0;2;;2;15;36;4;25;7;0
Georgetown;1019;2;0;0;;0;2;7;2;3;2;0
Glendale;4502;47;0;8;;19;20;451;45;370;36;0
Glenwood Springs;9715;26;0;4;;3;19;427;50;353;24;0
Golden;19334;33;1;5;;6;21;402;43;334;25;3
Granby;1733;5;0;1;;0;4;54;6;47;1;0
Grand Junction;60167;262;2;63;;48;149;2552;298;2141;113;26
Greeley;96111;491;2;74;;68;347;3219;475;2558;186;26
Greenwood Village;14614;19;0;0;;4;15;466;63;388;15;3
Gunnison;5884;17;1;3;;0;13;189;24;156;9;2
Hayden;1780;0;0;0;;0;0;22;9;10;3;0
