Nederland;1362;3;0;0;0;3;6;2;4;0;0; 
New Castle;3074;10;0;0;1;9;53;6;42;5;0;
Northglenn;33528;94;1;8;16;69;1349;196;936;217;13;
Oak Creek;812;7;0;0;0;7;7;2;0;5;0;
Olathe;1711;2;0;2;0;0;27;9;13;5;0;
Pagosa Springs;1659;5;0;1;0;4;95;11;79;5;0;
Palisade;2734;0;0;0;0;0;16;3;13;0;0;
Parachute;1115;2;0;1;0;1;46;9;28;9;0;
Parker;39155;24;1;6;0;17;752;149;548;55;9;
Platteville;2647;16;0;0;0;16;33;12;17;4;0;
Pueblo;105452;628;6;49;170;403;6317;1453;4409;455;55;
Rangely;2077;3;0;0;1;2;20;4;14;2;1;
Rocky Ford;4199;27;0;1;3;23;79;18;57;4;0;
Salida;5580;24;0;4;1;19;174;16;151;7;0;
Sheridan;5587;14;0;2;4;8;448;75;298;75;0;
Silt;2303;5;0;0;1;4;50;5;41;4;0;
Silverthorne;3678;9;0;1;1;7;128;10;116;2;2;
Snowmass Village;1800;1;0;0;0;1;95;8;85;2;0;
South Fork;586;4;0;0;0;4;17;2;12;3;0; 
Springfield;1389;2;0;0;0;2;5;0;5;0;0;
Steamboat Springs;9531;67;0;4;3;60;430;72;324;34;1;
Sterling;12827;29;0;4;1;24;452;158;275;19;3;
Telluride;2347;12;0;0;0;12;171;20;145;6;0;
Thornton;107171;366;4;75;46;241;4711;722;3339;650;52;
Trinidad;9249;25;0;4;5;16;212;75;131;6;2;
Vail;4676;13;0;1;2;10;386;32;339;15;1;
Victor;427;3;0;0;0;3;12;1;11;0;0;
Walsh;695;0;0;0;0;0;2;0;0;2;0;
Westminster;107071;285;5;37;53;190;4366;653;3121;592;16;
Wheat Ridge;31833;128;0;33;33;62;1769;334;1200;235;7;
Windsor;15155;7;0;2;1;4;320;84;217;19;1;
Woodland Park;6786;12;0;0;0;12;177;22;144;11;3;
Wray;2188;2;0;0;0;2;19;2;16;1;0;
Yuma;3292;2;0;0;0;2;54;10;41;3;1;
