Parachute;1301;1;0;1;0;0;14;6;6;2;0
Parker;46794;31;0;8;7;16;512;96;393;23;3
Platteville;2685;2;0;0;0;2;27;2;21;4;0
Pueblo;103612;885;1;30;157;697;4972;1622;2899;451;51
Rangely;2166;3;0;0;0;3;21;1;20;0;0
Rocky Ford;3830;15;0;0;0;15;115;44;69;2;0
Salida;5337;9;0;2;0;7;154;13;137;4;1
Sheridan;6150;40;1;10;7;22;374;58;268;48;2
Silt;2767;2;0;1;0;1;35;5;25;5;0
Silverthorne;4094;9;1;2;1;5;132;17;112;3;2
Snowmass Village;2009;0;0;0;0;0;52;2;48;2;1
Springfield;1221;7;0;1;0;6;7;1;4;2;0
Steamboat Springs;12426;34;0;6;1;27;308;41;254;13;1
Sterling;12517;61;0;16;0;45;429;120;290;19;2
Telluride;2380;6;0;1;1;4;170;22;144;4;0
Thornton2;119989;;5;42;55;;3625;555;2766;304;18
Timnath;683;0;0;0;0;0;21;0;19;2;0
Vail;4794;13;0;1;0;12;346;42;301;3;0
Westminster;108383;231;1;34;48;148;3250;529;2395;326;12
Wheat Ridge;30400;172;0;22;30;120;1306;241;932;133;6
Windsor;18088;18;0;5;0;13;251;47;198;6;4
Woodland Park;6540;3;0;0;0;3;64;5;59;0;0
Yuma;3240;1;0;0;0;1;38;10;27;1;1
