Alamosa;8933;43;1;11;5;26;579;92;477;10;4
Arvada;108287;162;1;25;34;102;2546;304;2053;189;29
Aspen;6774;8;0;0;0;8;270;22;245;3;0
Ault;1545;10;0;0;0;10;26;9;17;0;0
Aurora;330740;1448;9;183;504;752;9875;2144;6861;870;87
Avon;6559;6;0;3;0;3;175;19;152;4;2
Basalt;3924;2;0;0;0;2;46;8;37;1;0
Bayfield;2374;1;0;0;0;1;6;1;4;1;1
Berthoud;5194;2;0;0;0;2;71;7;59;5;3
Black Hawk;120;10;0;0;1;9;150;1;147;2;3
Boulder;99081;275;2;35;35;203;2491;467;1899;125;55
Brighton;33933;88;0;17;4;67;1088;149;875;64;13
Broomfield;56862;31;1;6;7;17;1101;81;974;46;7
Brush;5558;4;0;0;0;4;68;15;52;1;1
Buena Vista;2663;0;0;0;0;0;11;0;11;0;0
Burlington;4328;5;2;0;0;3;67;13;49;5;0
Campo;111;0;0;0;0;0;0;0;0;0;0
Castle Rock;49071;30;2;9;6;13;481;74;397;10;3
Cedaredge;2292;1;0;0;1;0;38;10;27;1;0
Centennial;102125;162;0;27;23;112;1353;325;957;71;20
Center;2269;8;0;0;2;6;86;45;39;2;2
Cherry Hills Village;6091;2;0;1;1;0;44;17;26;1;0
Colorado Springs;423680;1865;26;319;449;1071;15866;3323;11375;1168;107
Columbine Valley;1278;0;0;0;0;0;12;2;9;1;0
Commerce City;46713;166;1;39;23;103;1227;243;870;114;6
Cortez;8630;23;0;0;2;21;359;20;333;6;0
Craig;9629;27;0;9;2;16;265;50;208;7;2
Crested Butte;1513;0;0;0;0;0;24;8;14;2;1
Cripple Creek;1210;7;0;0;0;7;90;8;80;2;1
Dacono;4224;3;0;0;0;3;8;3;2;3;0
Del Norte;1715;0;0;0;0;0;26;1;25;0;0
Delta;9070;24;0;5;1;18;323;44;269;10;1
Denver;610612;3708;34;396;1143;2135;22495;4868;14040;3587;95
Dillon;920;1;0;0;0;1;31;4;26;1;0
Durango;17181;166;0;41;6;119;756;89;627;40;2
Eagle;6621;4;0;1;0;3;83;5;77;1;0
Eaton;4441;7;0;0;0;7;3;1;2;0;0
Edgewater;5260;22;1;6;9;6;251;25;194;32;4
Elizabeth;1382;2;0;0;1;1;38;5;33;0;0
Empire;287;1;0;0;0;1;9;2;6;1;0
Erie;18451;11;0;0;0;11;82;20;58;4;1
Estes Park;5960;8;0;0;0;8;101;23;78;0;1
Evans;18860;25;0;0;10;15;421;98;287;36;4
Fairplay;691;3;0;0;0;3;19;1;15;3;0
Federal Heights;11667;53;0;12;17;24;511;59;394;58;5
Firestone;10324;6;0;4;1;1;81;11;65;5;0
Florence;3949;4;0;0;0;4;42;13;29;0;0
Fort Collins;146494;420;3;56;46;315;4272;560;3553;159;15
Fort Morgan;11512;15;0;1;3;11;282;54;220;8;7
Fountain;26296;28;2;9;12;5;539;99;408;32;8
Fowler;1203;3;0;0;1;2;6;1;5;0;0
Fraser/Winter Park;2261;13;0;0;0;13;53;14;37;2;1
Frederick;8830;1;0;0;0;1;60;16;42;2;0
Frisco;2730;5;0;1;2;2;63;16;47;0;0
