Arvada;103191;178;3;18;49;108;3731;586;2746;399;41
Aurora;288830;1691;18;213;571;889;15253;2329;10272;2652;110
Boulder;95089;214;0;52;37;125;3930;549;3184;197;43
Canon City;15845;32;0;0;1;31;572;85;450;37;14
Castle Rock;26079;27;0;2;2;23;660;105;501;54;0
Centennial;100421;185;1;31;22;131;2346;417;1716;213;45
Colorado Springs;374818;1730;16;242;421;1051;18517;3360;13338;1819;191
Commerce City;24161;177;2;17;35;123;2160;358;1427;375;15
Denver;565905;3531;63;304;1421;1743;29064;7097;14839;7128;228
Durango;14773;38;0;4;4;30;930;103;775;52;7
Englewood;33286;91;2;26;40;23;2430;319;1664;447;19
Evans;13423;29;0;1;11;17;623;96;467;60;5
Federal Heights;12228;29;1;2;14;12;968;120;677;171;1
Fort Collins;125886;413;2;105;30;276;5520;850;4368;302;38
Fort Morgan;11130;15;0;4;2;9;367;42;314;11;6
Fountain;15851;19;1;0;3;15;339;31;285;23;0
Golden;17536;46;0;2;8;36;628;102;474;52;12
Grand Junction;43593;233;0;34;17;182;3236;513;2561;162;37
Greeley;82919;279;2;49;52;176;5329;689;4255;385;35
Greenwood Village;12827;41;0;5;14;22;816;147;608;61;4
Lafayette;24042;240;0;4;4;232;647;100;501;46;28
Littleton;40772;60;0;13;20;27;1497;226;1071;200;11
Montrose;13919;33;1;7;5;20;739;132;582;25;3
Northglenn;33982;114;0;14;21;79;1992;249;1438;305;7
Parker;32664;25;0;0;8;17;710;141;524;45;13
Pueblo;104424;817;6;38;175;598;5571;1241;3928;402;65
Sterling;13030;39;0;11;1;27;442;78;360;4;9
Thornton;94540;396;5;37;56;298;4891;603;3654;634;43
Wheat Ridge;32595;115;0;15;41;59;1794;309;1216;269;21
Windsor;12637;2;0;1;1;0;53;23;24;6;1
